acpi 1.7-3
m4 1.4.19-1
make 4.3-3
man-db 2.10.2-1
man-pages 5.13-1
mcpelauncher-linux-git v0.3.2.r0.g1da5aa2-1
mcpelauncher-msa-git v0.1.beta.2.r10.ge830ebe-1
mcpelauncher-msa-ui-qt-git v0.1.beta.2.r10.ge830ebe-1
mcpelauncher-ui-git v0.3.2.r0.g6039645-1
mdcat 0.26.1-1
mediainfo 22.03-1
mesa-demos 8.4.0-7
mesa-utils 8.4.0-7
mesa-vdpau 22.0.1-3
meson 0.62.0-1
microsoft-gsl 3.1.0-1
mindustry 1:7.0_135.2-1
minecraft-launcher 928-1
mold 1.1.1-1
moreutils 0.67-2
mp3info 0.8.5a-8
mpv 1:0.34.1-4
mtools 1:4.0.38-1
mupdf 1.19.0-2
mupdf-tools 1.19.0-2
musl 1.2.3-1
mythes-tr r77.491563f-1
namcap 3.2.10-5
nasm 2.15.05-1
navi 2.19.0-1
ncdu 2.1.1-1
neofetch 7.1.0-2
neovim-git 0.6.0.r1393.gb81c310d49-1
nerd-fonts-hack 2.1.0-4
nerd-fonts-roboto-mono 2.1.0-2
network-manager-applet 1.26.0-1
networkmanager 1.36.4-1
ninja 1.10.2-1
nlohmann-json 3.10.5-1
nmap 7.92-1
nnn 4.4-1
notcurses 3.0.7-1
noto-fonts 20201226-2
noto-fonts-emoji 20211101-1
npm 8.5.5-1
nsxiv 29-3
ntfs-3g 2021.8.22-1
numlockx 1.2-5
nushell 0.60.0-1
obs-studio 27.2.3-1
octave 7.1.0-2
onefetch 2.12.0-1
os-prober 1.79-1
osu 20220323-1
osu-handler 0.3.0-4
p7zip 1:17.04-3
pandoc-bin 2.18-1
parallel 20220322-1
paru-bin 1.10.0-1
pastel 0.8.1-2
patch 2.7.6-8
pavucontrol 1:5.0-1
perf 5.17-1
php 8.1.4-1
pipes-rs-git v1.4.7.r0.g2187012-1
pistol-git 0.3.2.r6.ga950149-1
pkgconf 1.8.0-1
playerctl 2.4.1-2
plocate 1.1.15-2
png++ 0.2.10-2
polymc-bin 1.1.1-2
prettier 2.6.2-1
processing4 4.0b7-1
procs 0.12.1-1
progress 0.16-1
pulseaudio 15.0-4
pulseaudio-alsa 1:1.2.6-3
pulsemixer 1.5.1-3
pv 1.6.20-2
pypy 7.3.9-1
pypy3 7.3.9-1
pyright 1.1.235-1
python 3.10.4-1
python-numpy 1.22.3-1
python-pip 21.0-1
python-pynvim 0.4.3-2
python2 2.7.18-5
qalculate-qt 4.1.1-1
qbittorrent 4.4.2-1
qcachegrind 21.12.3-1
qemu 6.2.0-4
qemu-arch-extra 6.2.0-4
qoibench-git r192.09d144f-2
qt6-5compat 6.2.4-1
qtcreator 7.0.0-1
qutebrowser 2.5.0-1
radeontool 1.6.3-4
radeontop 1.4-1
raylib 4.0.0-1
redshift 1.12-5
reflector 2021.11-3
ripgrep 13.0.0-2
rmlint 2.10.1-3
rnote 0.4.0-1
rofi 1.7.3-1
rsync 3.2.3-4
ruby-colorls 1.4.4-1
rust-analyzer 20220404-1
rustup 1.24.3-2
sccache 0.2.15-2
scnlib-git r527.ec82a33-1
scrcpy 1.23-1
screenkey 1.5-1
scrot 1.7-1
sdcv 0.5.3-1
sdl 1:1.2.15+r406+gf1caf909-1
sdl2_gfx 1:1.0.4-2
sdl2_image 2.0.5-2
sdl2_mixer 2.0.4-7
sdl2_net 1:2.0.1-3
sdl2_ttf 2.0.18-1
sdl_gfx 2.0.26-5
sdl_image 1.2.12-7
sdl_mixer 1.2.12-10
sdl_net 1.2.8-5
sdl_sound 1.0.3-8
sdl_ttf 2.0.11-6
sfml 2.5.1-2
shadered-bin 1.5.6-1
shellcheck-bin 0.8.0-3
shfmt 3.4.3-1
silicon 0.4.3-1
simple-mtpfs 0.4.0-1
speedtest-cli 2.1.3-2
spicetify-cli 2.9.4-1
spotify 1:1.1.80.699-1
stardict 3.0.6.2-1
starship 1.5.4-1
stb 20210910-1
stdman 2020.11.17-1
steam 1.0.0.74-1
steam-native-runtime 1.0.0.70-3
strace 5.17-1
stress 1.0.5-1
subliminal-git 2.1.0.r22.g160ea63-5
sudo 1.9.10-1
supertux 0.6.3-1
supertuxkart 1.3-1
sxiv 26-1
sysbench 1.0.20-1
t-rec 0.7.3-1
tcc 0.9.27-4
tealdeer 1.5.0-1
teams 1.4.00.26453-1
teams-for-linux 1.0.24-1
tenacity-git 1:r13926.g0665614b8-1
terminator 2.1.1-3
tesseract-data-eng 2:4.1.0-3
tesseract-data-fra 2:4.1.0-3
tesseract-data-jpn 2:4.1.0-3
tesseract-data-tur 2:4.1.0-3
texlive-bibtexextra 2021.62705-1
texlive-bin 2021.59745-2
texlive-core 2021.62793-1
texlive-fontsextra 2021.62623-1
texlive-formatsextra 2021.62145-1
texlive-langextra 2021.62109-1
texlive-pictures 2021.62760-1
texlive-science 2021.62659-1
textsnatcher-beron-git r163.7192ac1-1
the_silver_searcher 2.2.0-2
thinkfan 1.3.1-1
thunar 4.16.11-1
thunar-archive-plugin 0.4.0-3
thunar-media-tags-plugin 0.3.0-2
thunar-volman 4.16.0-1
tk 8.6.12-1
tl-expected 1.0.0-1
torbrowser-launcher 0.3.5-4
